ts,priceDiff,margin,sell_exchange_name,buy_exchange_name,sell_pair,buy_pair,sell_price,buy_price,sell_amount,buy_amount,sell_margin,buy_margin,suggested_buy_amount,suggested_sell_amount,gross_margin,trade_decision
2020-02-19 03:36:25.189585,0.000760739999999982,0.0025795731202200366,binance,bittrex,XRP-USDT,XRP-USDT,0.29567,0.29490926,2265.0,1366.7319730000002,-697.0394230000002,-2369.4152536953234,669.69255,2265.0,1.72752090079166,False
2020-02-19 03:36:37.007196,0.0008305200000000013,0.002816186173465842,binance,bittrex,XRP-USDT,XRP-USDT,0.29574,0.29490948,2265.0,1366.7319730000002,-696.8808730000002,-2369.411796460392,669.8511,2265.0,1.8864254061008978,False
2020-02-19 03:36:49.016422,0.0001203499999999913,0.00040809108823665585,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29490965,2265.0,1366.7319730000002,-698.4890230000001,-2369.409124964205,668.2429500000001,2265.0,0.2727039926719499,False
2020-02-19 03:37:00.768866,0.00018021000000001397,0.0006110682185220571,binance,bittrex,XRP-USDT,XRP-USDT,0.29509,0.29490979,2265.0,1366.7319730000002,-698.3531230000001,-2369.406924910835,668.37885,2265.0,0.40842507316733645,False
2020-02-19 03:37:10.944203,0.0006700500000000331,0.0022720494849361073,binance,bittrex,XRP-USDT,XRP-USDT,0.29558,0.29490995,2265.0,1366.7319730000002,-697.2432730000002,-2369.4044105666844,669.4887,2265.0,1.521111456005542,False
2020-02-19 03:37:21.204504,0.000339770000000017,0.0011521133058016231,binance,bittrex,XRP-USDT,XRP-USDT,0.29525,0.29491023,2265.0,1366.7319730000002,-697.9907230000001,-2369.400010470984,668.74125,2265.0,0.7704656922634285,False
2020-02-19 03:37:30.882951,0.0006737799999999572,0.0022862768217106417,binance,bittrex,XRP-USDT,XRP-USDT,0.29538,0.29470622,2265.0,1366.7319730000002,-697.6962730000002,-2372.6081678900437,669.0356999999999,2265.0,1.5296008138070647,False
2020-02-19 03:37:40.976350,0.0007898299999999914,0.002678205366739273,binance,bittrex,XRP-USDT,XRP-USDT,0.2957,0.29491017,2265.0,1366.7319730000002,-696.9714730000001,-2369.4009533479293,669.7605000000001,2265.0,1.7937561655299987,False
2020-02-19 03:37:53.965419,0.00016980999999999247,0.0005758024163220419,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29491019,2265.0,1366.7319730000002,-698.3757730000001,-2369.4006390555714,668.3562000000001,2265.0,0.3848411149238018,False
2020-02-19 03:38:05.137165,0.00018970999999995408,0.0006432803684128962,binance,bittrex,XRP-USDT,XRP-USDT,0.2951,0.29491029,2265.0,1366.7319730000002,-698.3304730000002,-2369.3990675944206,668.4014999999999,2265.0,0.4299695631677878,False
2020-02-19 03:38:17.124452,0.00011959000000000275,0.0004055129827394114,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29491041,2265.0,1366.7319730000002,-698.4890230000001,-2369.397181842445,668.2429500000001,2265.0,0.2709811918491596,False
2020-02-19 03:38:27.146327,0.00016982999999998194,0.0005758702726324492,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29491017,2265.0,1366.7319730000002,-698.3757730000001,-2369.4009533479293,668.3562000000001,2265.0,0.3848864671094816,False
2020-02-19 03:38:37.797544,0.0006897399999999942,0.0023388131698096714,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491026,2265.0,1366.7319730000002,-697.1979730000002,-2369.3995390326545,669.534,2265.0,1.5659149368353837,False
2020-02-19 03:38:50.179374,0.0006898399999999971,0.002339153049186224,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491016,2265.0,1366.7319730000002,-697.1979730000002,-2369.4011104941255,669.534,2265.0,1.566142497633905,False
2020-02-19 03:39:04.318188,0.0006898299999999469,0.0023391190612380265,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491017,2265.0,1366.7319730000002,-697.1979730000002,-2369.4009533479293,669.534,2265.0,1.566119741547027,False
2020-02-19 03:39:17.225129,0.0001698400000000322,0.0005759042007912925,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29491016,2265.0,1366.7319730000002,-698.3757730000001,-2369.4011104941255,668.3562000000001,2265.0,0.3849091432049363,False
2020-02-19 03:39:29.247997,0.0006897999999999627,0.00233901709740783,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.2949102,2265.0,1366.7319730000002,-697.1979730000002,-2369.400481909409,669.534,2265.0,1.566051473295829,False
2020-02-19 03:39:41.277562,0.0006898299999999469,0.0023391190612380265,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491017,2265.0,1366.7319730000002,-697.1979730000002,-2369.4009533479293,669.534,2265.0,1.566119741547027,False
2020-02-19 03:39:51.709123,0.0006898199999999521,0.0023390850732923226,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491018,2265.0,1366.7319730000002,-697.1979730000002,-2369.400796201746,669.534,2265.0,1.566096985461627,False
2020-02-19 03:39:59.496118,0.0006898399999999971,0.002339153049186224,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491016,2265.0,1366.7319730000002,-697.1979730000002,-2369.4011104941255,669.534,2265.0,1.566142497633905,False
2020-02-19 03:40:10.637135,0.00021982999999997643,0.0007454134253829782,binance,bittrex,XRP-USDT,XRP-USDT,0.29513,0.29491017,2265.0,1366.7319730000002,-698.2625230000001,-2369.4009533479293,668.46945,2265.0,0.49828610248846417,False
2020-02-19 03:40:20.341515,0.00021982999999997643,0.0007454134253829782,binance,bittrex,XRP-USDT,XRP-USDT,0.29513,0.29491017,2265.0,1366.7319730000002,-698.2625230000001,-2369.4009533479293,668.46945,2265.0,0.49828610248846417,False
2020-02-19 03:40:30.330774,0.0006898299999999469,0.0023391190612380265,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491017,2265.0,1366.7319730000002,-697.1979730000002,-2369.4009533479293,669.534,2265.0,1.566119741547027,False
2020-02-19 03:40:39.548767,0.0006898299999999469,0.0023391190612380265,binance,bittrex,XRP-USDT,XRP-USDT,0.2956,0.29491017,2265.0,1366.7319730000002,-697.1979730000002,-2369.4009533479293,669.534,2265.0,1.566119741547027,False
